O,46,,,,,
M,2,,,,,
T,35,,,,,
C,80,,,,,
,,,,,,
Job,Operation,Release time,Processing time,Due date,Tool set,Tool set size
3,1,0,3.333334,51.33333333,2,26
1,1,3.166666667,3.533333,54.7,20,8
2,1,15.16666667,13.133327,76.3,24,19
4,1,23.75,11.5,83.25,34,40
5,1,48,9,105,32,2
6,1,72.25,8.33333,128.5833333,1,17
6,2,128.5833333,7.16667,183.75,30,7
21,1,192,4.5,244.5,31,25
20,1,192,7,247,6,14
19,1,192.2,2,242.2,8,16
15,1,192.25,4.33333,244.5833333,5,31
12,1,192.25,8.33333,248.5833333,27,28
17,1,192.2833333,3.201,243.4844444,17,18
16,1,192.55,4.801,245.3511111,9,18
18,1,192.5833333,5,245.5833333,14,1
14,1,193.9166667,9.66666,251.5833333,19,17
9,1,216.2319444,2.169,266.4011111,34,40
10,1,216.2319444,1.895,266.1269444,13,22
11,1,241.2369444,13.25,302.4869444,15,21
7,1,247.25,3.583333,298.8333333,33,3
12,2,248.5833333,7.16667,303.75,3,35
14,2,251.5833333,9.66666,309.25,21,19
25,1,263.75,11.5,323.25,25,16
8,1,268.25,5.916665,322.1666667,35,42
24,1,288.7,4.3,341,29,6
23,1,312.5,13,373.5,23,5
22,1,312.5,23.83335,384.3333333,4,9
13,1,322.67,8.33333,379.0033333,22,11
27,1,384.2,2,434.2,26,13
26,1,384.25,8.33333,440.5833333,1,17
29,1,432.73,2.861,483.5911111,11,20
28,1,432.73,3.171,483.9011111,8,16
26,2,440.5833333,7.16667,495.75,3,35
30,1,480.5,24.33335,552.8333333,10,15
41,1,546.5475,1.668,596.2155556,30,7
40,1,546.5475,1.668,596.2155556,18,24
42,1,546.7136111,2.002,596.7155556,12,22
31,1,551.75,11.5,611.25,16,8
37,1,600,5.5,653.5,7,15
38,1,600,7.5,655.5,32,2
36,1,600.2,2,650.2,18,24
35,1,600.4166667,4,652.4166667,14,1
34,1,600.4166667,4.001,652.4177778,27,28
33,1,600.5,5.66666,654.1666667,13,22
32,1,601.0833333,6.33333,655.4166667,19,17
39,1,623.75,13.66669,685.4166667,28,25
